loss/val,acc/val,auroc/val,f1/val,precision/val,recall/val,specificity/val,epoch,step,acc/train,loss/train,loss/test,acc/test,auroc/test,f1/test,precision/test,recall/test,specificity/test
0.7336856722831726,0.6000000238418579,0.1666666567325592,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0,4,,,,,,,,,
0.6520298719406128,0.6000000238418579,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,1,9,,,,,,,,,
0.5888552069664001,0.6000000238418579,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,2,14,,,,,,,,,
0.5431374311447144,1.0,1.0,1.0,1.0,1.0,1.0,3,19,,,,,,,,,
0.498056560754776,1.0,1.0,1.0,1.0,1.0,1.0,4,24,,,,,,,,,
0.45165976881980896,1.0,1.0,1.0,1.0,1.0,1.0,5,29,,,,,,,,,
0.40323129296302795,1.0,1.0,1.0,1.0,1.0,1.0,6,34,,,,,,,,,
0.36235326528549194,1.0,1.0,1.0,1.0,1.0,1.0,7,39,,,,,,,,,
0.32283368706703186,1.0,1.0,1.0,1.0,1.0,1.0,8,44,,,,,,,,,
,,,,,,,9,49,1.0,0.2337784469127655,,,,,,,
0.2784418761730194,1.0,1.0,1.0,1.0,1.0,1.0,9,49,,,,,,,,,
0.2413369119167328,1.0,1.0,1.0,1.0,1.0,1.0,10,54,,,,,,,,,
0.2058964967727661,1.0,1.0,1.0,1.0,1.0,1.0,11,59,,,,,,,,,
0.17404690384864807,1.0,1.0,1.0,1.0,1.0,1.0,12,64,,,,,,,,,
0.14549560844898224,1.0,1.0,1.0,1.0,1.0,1.0,13,69,,,,,,,,,
0.12065942585468292,1.0,1.0,1.0,1.0,1.0,1.0,14,74,,,,,,,,,
0.10025690495967865,1.0,1.0,1.0,1.0,1.0,1.0,15,79,,,,,,,,,
0.08194537460803986,1.0,1.0,1.0,1.0,1.0,1.0,16,84,,,,,,,,,
0.0675576776266098,1.0,1.0,1.0,1.0,1.0,1.0,17,89,,,,,,,,,
0.05708892270922661,1.0,1.0,1.0,1.0,1.0,1.0,18,94,,,,,,,,,
,,,,,,,19,99,1.0,0.031015191227197647,,,,,,,
0.04762402921915054,1.0,1.0,1.0,1.0,1.0,1.0,19,99,,,,,,,,,
0.040694404393434525,1.0,1.0,1.0,1.0,1.0,1.0,20,104,,,,,,,,,
0.034074343740940094,1.0,1.0,1.0,1.0,1.0,1.0,21,109,,,,,,,,,
0.029123594984412193,1.0,1.0,1.0,1.0,1.0,1.0,22,114,,,,,,,,,
0.025313684716820717,1.0,1.0,1.0,1.0,1.0,1.0,23,119,,,,,,,,,
0.022304993122816086,1.0,1.0,1.0,1.0,1.0,1.0,24,124,,,,,,,,,
0.019784417003393173,1.0,1.0,1.0,1.0,1.0,1.0,25,129,,,,,,,,,
0.017784032970666885,1.0,1.0,1.0,1.0,1.0,1.0,26,134,,,,,,,,,
0.0160201583057642,1.0,1.0,1.0,1.0,1.0,1.0,27,139,,,,,,,,,
0.014513233676552773,1.0,1.0,1.0,1.0,1.0,1.0,28,144,,,,,,,,,
,,,,,,,29,149,1.0,0.00900765135884285,,,,,,,
0.01327833253890276,1.0,1.0,1.0,1.0,1.0,1.0,29,149,,,,,,,,,
0.012210408225655556,1.0,1.0,1.0,1.0,1.0,1.0,30,154,,,,,,,,,
0.011263995431363583,1.0,1.0,1.0,1.0,1.0,1.0,31,159,,,,,,,,,
0.010465866886079311,1.0,1.0,1.0,1.0,1.0,1.0,32,164,,,,,,,,,
0.009767798706889153,1.0,1.0,1.0,1.0,1.0,1.0,33,169,,,,,,,,,
0.009151678532361984,1.0,1.0,1.0,1.0,1.0,1.0,34,174,,,,,,,,,
0.00855942815542221,1.0,1.0,1.0,1.0,1.0,1.0,35,179,,,,,,,,,
0.00804394856095314,1.0,1.0,1.0,1.0,1.0,1.0,36,184,,,,,,,,,
0.007605378516018391,1.0,1.0,1.0,1.0,1.0,1.0,37,189,,,,,,,,,
0.007212952710688114,1.0,1.0,1.0,1.0,1.0,1.0,38,194,,,,,,,,,
,,,,,,,39,199,1.0,0.007126743905246258,,,,,,,
0.006837605033069849,1.0,1.0,1.0,1.0,1.0,1.0,39,199,,,,,,,,,
0.006503151264041662,1.0,1.0,1.0,1.0,1.0,1.0,40,204,,,,,,,,,
0.0062077781185507774,1.0,1.0,1.0,1.0,1.0,1.0,41,209,,,,,,,,,
0.005943114869296551,1.0,1.0,1.0,1.0,1.0,1.0,42,214,,,,,,,,,
0.005698982160538435,1.0,1.0,1.0,1.0,1.0,1.0,43,219,,,,,,,,,
0.005472847726196051,1.0,1.0,1.0,1.0,1.0,1.0,44,224,,,,,,,,,
0.005250411573797464,1.0,1.0,1.0,1.0,1.0,1.0,45,229,,,,,,,,,
0.005056250374764204,1.0,1.0,1.0,1.0,1.0,1.0,46,234,,,,,,,,,
0.004883159883320332,1.0,1.0,1.0,1.0,1.0,1.0,47,239,,,,,,,,,
0.004722152836620808,1.0,1.0,1.0,1.0,1.0,1.0,48,244,,,,,,,,,
,,,,,,,49,249,1.0,0.004661882296204567,,,,,,,
0.004567266441881657,1.0,1.0,1.0,1.0,1.0,1.0,49,249,,,,,,,,,
0.004436597693711519,1.0,1.0,1.0,1.0,1.0,1.0,50,254,,,,,,,,,
0.0043099382892251015,1.0,1.0,1.0,1.0,1.0,1.0,51,259,,,,,,,,,
0.00419273879379034,1.0,1.0,1.0,1.0,1.0,1.0,52,264,,,,,,,,,
0.004077701363712549,1.0,1.0,1.0,1.0,1.0,1.0,53,269,,,,,,,,,
0.0039682635106146336,1.0,1.0,1.0,1.0,1.0,1.0,54,274,,,,,,,,,
0.0038694001268595457,1.0,1.0,1.0,1.0,1.0,1.0,55,279,,,,,,,,,
0.0037803356535732746,1.0,1.0,1.0,1.0,1.0,1.0,56,284,,,,,,,,,
0.0036980952136218548,1.0,1.0,1.0,1.0,1.0,1.0,57,289,,,,,,,,,
0.0036218438763171434,1.0,1.0,1.0,1.0,1.0,1.0,58,294,,,,,,,,,
,,,,,,,59,299,1.0,0.0036073154769837856,,,,,,,
0.0035471420269459486,1.0,1.0,1.0,1.0,1.0,1.0,59,299,,,,,,,,,
0.003482963889837265,1.0,1.0,1.0,1.0,1.0,1.0,60,304,,,,,,,,,
0.0034178204368799925,1.0,1.0,1.0,1.0,1.0,1.0,61,309,,,,,,,,,
0.003355587599799037,1.0,1.0,1.0,1.0,1.0,1.0,62,314,,,,,,,,,
0.0032998330425471067,1.0,1.0,1.0,1.0,1.0,1.0,63,319,,,,,,,,,
0.0032493670005351305,1.0,1.0,1.0,1.0,1.0,1.0,64,324,,,,,,,,,
0.003202767577022314,1.0,1.0,1.0,1.0,1.0,1.0,65,329,,,,,,,,,
0.003160529537126422,1.0,1.0,1.0,1.0,1.0,1.0,66,334,,,,,,,,,
0.0031186286360025406,1.0,1.0,1.0,1.0,1.0,1.0,67,339,,,,,,,,,
0.0030809324234724045,1.0,1.0,1.0,1.0,1.0,1.0,68,344,,,,,,,,,
